Response ID,Date submitted,Last page,Start language,Token,Age:,Gender:,Gender: [Other],Education (indicate the highest level of schooling you have completed):,Profession:,I consider myself a 'mechanically inclined' person [],"On the next page you will be shown a video of a robot performing a task. Under the video will be two buttons: a red emergency STOP button and a yellow INTERVENE button. If you were interacting with the robot and wanted to disable/stop the robot press the STOP button. If instead you wanted to simply help the robot complete its task press the INTERVENE button. Regardless, please watch the video to its completion before going to the next page.  Please Do Not refresh the page, even if video is loading slowly.  Click ""I understand"" below to continue.",             Thank you for watching.     STOP!      Intervene                      [][VidNum],             Thank you for watching.     STOP!      Intervene                      [][VidDuration],             Thank you for watching.     STOP!      Intervene                      [][TIme Stop Pressed],             Thank you for watching.     STOP!      Intervene                      [][Time Intervene Pressed],             Thank you for watching.     STOP!      Intervene                      [][Percentage of Video Where Stopped Pressed],             Thank you for watching.     STOP!      Intervene                      [][Percentage of Video Where Intervene Pressed],             Thank you for watching.     STOP!      Intervene                      [][VidDone],Please read and rate each of the following statements on a scale of 1 to 7. [I would have used the emergency stop button to prevent the robot from failing.],Please read and rate each of the following statements on a scale of 1 to 7. [I could have used something other than the emergency stop button to prevent this failure from happening.],Please read and rate each of the following statements on a scale of 1 to 7. [I would have intervened to prevent the failure.],Please read and rate each of the following statements on a scale of 1 to 7. [I could tell the robot was going to fail before it did.],Please read and rate each of the following statements on a scale of 1 to 7. [This failure seemed preventable.],Please read and rate each of the following statements on a scale of 1 to 7. [The emergency stop was necessary to prevent the failure from happening.],"Please read and rate each of the following statements on a scale of 1 to 7. [If I were the person in the video, I could carry on the task without the robot after it failed.]","Please read and rate each of the following statements on a scale of 1 to 7. [If I were the person in the video, I would abandon the task altogether after the robot failed.]",Please read and rate each of the following statements on a scale of 1 to 7. [I would be willing to help the robot in this situation.],"Please read and rate each of the following statements on a scale of 1 to 7. [Despite its failure, the robot was helpful in this task overall.]",Please read and rate each of the following statements on a scale of 1 to 7. [The task could not have been done without the robot.],Please read and rate each of the following statements on a scale of 1 to 7. [The task would have been easier to complete without the robot.],Please read and rate each of the following statements on a scale of 1 to 7. [The robot's failure was severe.],"Please read and rate each of the following statements on a scale of 1 to 7. [If I was a bystander standing 20 feet away from this robot when it failed, I would have felt unsafe.]","Please read and rate each of the following statements on a scale of 1 to 7. [If I had been standing 10 feet away from this robot when it failed, I would have felt unsafe.]","Please read and rate each of the following statements on a scale of 1 to 7. [If I had been standing 3 feet away from this robot when it failed, I would have felt unsafe.]",Please read and rate each of the following statements on a scale of 1 to 7. [I am upset with the robot.],Please read and rate each of the following statements on a scale of 1 to 7. [The robot is fixable by an expert.],Please read and rate each of the following statements on a scale of 1 to 7. [To proceed to the next page answer 1 for this question],Please read and rate each of the following statements on a scale of 1 to 7. [To procceed to the next page answer 3 for this question],Please read and rate each of the following statements on a scale of 1 to 7. [To proceed to the next page answer 6 for this question],Please read and rate each of the following statements on a scale of 1 to 7. [I would have used the emergency stop button to prevent the robot from failing.],Please read and rate each of the following statements on a scale of 1 to 7. [I could have used something other than the emergency stop button to prevent this failure from happening.],Please read and rate each of the following statements on a scale of 1 to 7. [I would have intervened to prevent the failure.],Please read and rate each of the following statements on a scale of 1 to 7. [I could tell the robot was going to fail before it did.],Please read and rate each of the following statements on a scale of 1 to 7. [This failure seemed preventable.],Please read and rate each of the following statements on a scale of 1 to 7. [The emergency stop was necessary to prevent the failure from happening.],Please read and rate each of the following statements on a scale of 1 to 7. [I would be willing to help the robot in this situation.],Please read and rate each of the following statements on a scale of 1 to 7. [The task could not have been done without the robot.],Please read and rate each of the following statements on a scale of 1 to 7. [The task would have been easier to complete without the robot.],Please read and rate each of the following statements on a scale of 1 to 7. [The robot's failure was severe.],"Please read and rate each of the following statements on a scale of 1 to 7. [If I was a bystander standing 20 feet away from this robot when it failed, I would have felt unsafe.]","Please read and rate each of the following statements on a scale of 1 to 7. [If I had been standing 10 feet away from this robot when it failed, I would have felt unsafe.]","Please read and rate each of the following statements on a scale of 1 to 7. [If I had been standing 3 feet away from this robot when it failed, I would have felt unsafe.]",Please read and rate each of the following statements on a scale of 1 to 7. [I am upset with the robot.],Please read and rate each of the following statements on a scale of 1 to 7. [The robot is fixable by an expert.],Please read and rate each of the following statements on a scale of 1 to 7. [To proceed to the next page answer 2 for this question],Please read and rate each of the following statements on a scale of 1 to 7. [To proceed to the next page answer 4 for this question],Please read and rate each of the following statements on a scale of 1 to 7. [To proceed to the next page answer 5 for this question],Please rate the following items on a scale from 1 to 7 (1 being low and 7 being high) [Your Level Of Confidence In The Robot Before The Failure Took Place],Please rate the following items on a scale from 1 to 7 (1 being low and 7 being high) [Damage done by robot],Please rate the following items on a scale from 1 to 7 (1 being low and 7 being high) [Your level of confidence in the robot after the failure took place],What happened before the failure that helped you see it coming?,What intervention does the robot need from you to get back to work?,Total time,Group time: Demographics,Question time: age,Question time: gender,Question time: education,Question time: profession,Question time: skill,Group time: videoexplanation,Question time: explanation,Group time: video,Question time: video,Group time: Video Question Page 1,Question time: scale,Question time: scalenohuman,Group time: Video Question Page 2,Question time: rate,Question time: predictresp,Question time: intervention,Human1,Hum,Severity,Sev,Wobb,Succ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
16,1980-01-01 00:00:00,5,en,FsHr_9Xf5o4byfu,25-34,Male,,Master's degree,Accountant ,4,I understand,1,10,-1,8.2310051278,-1,0.8573070647,1,2,2,6,3,2,4,5,3,3,2,4,3,3,3,4,4,5,2,1,3,6,,,,,,,,,,,,,,,,,,,4,5,5,,The robot has to hold thing correctly with out dropping things the first time.,181.66,18.96,,,,,,5.99,,26.98,,95.3,,,34.43,,,,H,H,M,H,NW,NS,2,2,6,3,2,4,5,3,3,4,2,3,3,3,4,4,5,2,4,5,5
75,1980-01-01 00:00:00,5,en,2yA39zHrpnJU1SY,25-34,Female,,High school diploma or the equivalent (for example: GED),homemaker / self-employed,2,I understand,1,10,-1,-1,-1,-1,1,4,6,4,1,3,3,5,5,5,1,1,6,5,1,2,2,4,5,1,3,6,,,,,,,,,,,,,,,,,,,6,5,2,,He would need a complete intervention - he needs to be stopped.,321.06,22.29,,,,,,43.23,,31.51,,163.31,,,60.72,,,,H,H,M,H,NW,NS,4,6,4,1,3,3,5,5,5,1,1,6,5,1,2,2,4,5,6,5,2
113,1980-01-01 00:00:00,5,en,LqFWRiKsJ9JQVet,35-44,Female,,Bachelor's degree,internet,4,I understand,1,10,-1,-1,-1,-1,1,3,6,7,6,2,5,3,6,3,6,3,2,4,2,5,3,3,6,1,3,6,,,,,,,,,,,,,,,,,,,5,3,5,It looked confused and did the same movement.,To do the task correctly.,173.71,17.2,,,,,,6.74,,35.33,,73.39,,,41.05,,,,H,H,M,H,NW,NS,3,6,7,6,2,5,3,6,3,3,6,2,4,2,5,3,3,6,5,3,5
127,1980-01-01 00:00:00,5,en,vowLDppX8fw8Wr5,25-34,Male,,Bachelor's degree,Underwriter,4,I understand,1,10,9.609,-1,1,-1,1,7,7,7,1,7,4,7,1,7,4,1,4,1,1,1,1,1,7,1,3,6,,,,,,,,,,,,,,,,,,,6,4,4,,Helping it carry the laptop,106.1,10.77,,,,,,3.1,,16.29,,51.59,,,24.35,,,,H,H,M,H,NW,NS,7,7,7,1,7,4,7,1,7,1,4,4,1,1,1,1,1,7,6,4,4
180,1980-01-01 00:00:00,5,en,2Xod3J8lnuVO_kY,35-44,Male,,High school diploma or the equivalent (for example: GED),quality auditor,4,I understand,1,10,-1,9.609,-1,1,1,2,6,6,2,6,1,2,1,7,4,2,4,1,2,2,3,1,6,1,3,6,,,,,,,,,,,,,,,,,,,4,3,2,,To pick the laptop up and hand it back to it,178.71,15.54,,,,,,23.27,,30.46,,78.39,,,31.05,,,,H,H,M,H,NW,NS,2,6,6,2,6,1,2,1,7,2,4,4,1,2,2,3,1,6,4,3,2
226,1980-01-01 00:00:00,5,en,Twcj_nLKS3oqIsh,25-34,Male,,High school diploma or the equivalent (for example: GED),,4,I understand,1,10,-1,-1,-1,-1,1,4,5,3,2,5,3,4,3,5,4,3,4,2,2,2,2,3,5,1,3,6,,,,,,,,,,,,,,,,,,,5,2,4,,,175.75,11.62,,,,,,5.84,,32.08,,115.21,,,11,,,,H,H,M,H,NW,NS,4,5,3,2,5,3,4,3,5,3,4,4,2,2,2,2,3,5,5,2,4
235,1980-01-01 00:00:00,5,en,~M~m8mE_PRWgf1v,25-34,Male,,Professional degree,SENIOR-ASSOCIATE,4,I understand,1,10,-1,9.609,-1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,6,,,,,,,,,,,,,,,,,,,4,4,4,,,334.59,29.63,,,,,,11,,41.11,,244.84,,,8.01,,,,H,H,M,H,NW,NS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
277,,3,en,4zfZyAHyUC7HZnM,35-44,Female,,Master's degree,underwriter,1,I understand,1,10,-1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.39,18.5,,,,,,15.47,,30.42,,,,,,,,,H,H,M,H,NW,NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1980-01-01 00:00:00,5,en,wHJVRQlG5HPkTvJ,18-24,Male,,High school diploma or the equivalent (for example: GED),web design,4,I understand,2,14,-1,9.7785160801,-1,0.717973424,1,,,,,,,,,,,,,,,,,,,,,,4,4,6,4,3,2,6,2,6,2,2,2,2,2,6,2,4,5,2,2,2,the robot was making clumsy movements,i think it needs reprogrammed before it can successfully work,147.24,10.48,,,,,,9.62,,20.69,,76.77,,,29.68,,,,NH,NH,M,H,NW,NS,4,4,6,4,3,2,0,0,6,2,0,6,2,2,2,2,2,6,2,2,2
66,,4,en,OPz1mCZLrYJ90__,25-34,Female,,Bachelor's degree,medical billing,4,I understand,2,14,-1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,3,5,3,2,5,4,6,3,4,2,3,4,2,2,5,2,4,5,,,,,,93.1,11.53,,,,,,15.08,,27.61,,38.88,,,,,,,NH,NH,M,H,NW,NS,3,5,3,2,5,4,0,0,6,3,0,4,2,3,4,2,2,5,0,0,0
